#,year,month,category,is_korean,paid_amount
152,2018,9,관광기념품,1,5642905
153,2018,9,레저용품쇼핑,1,207604768
154,2018,9,대형쇼핑몰,1,921449706
155,2018,9,관광유원시설,1,8866692
156,2018,9,골프장,1,137300151
157,2018,9,기타레저,1,53281413
158,2018,9,문화서비스,1,43582742
159,2018,9,식음료,1,1792289740
160,2018,9,렌터카,1,4587545
161,2018,9,콘도,1,14794340
162,2018,9,육상운송,1,78391081
163,2018,9,수상운송,1,6496881
164,2018,9,스키장,1,652141
165,2018,10,호텔,1,39829839
166,2018,10,기타숙박,1,71487575
167,2018,10,여행업,1,16640044
168,2018,10,항공운송,1,62270944
169,2018,10,면세점,1,58413794
170,2018,10,관광기념품,1,5933563
171,2018,10,레저용품쇼핑,1,259817903
172,2018,10,대형쇼핑몰,1,856242350
173,2018,10,관광유원시설,1,8802361
174,2018,10,골프장,1,144409570
175,2018,10,기타레저,1,52412630
176,2018,10,문화서비스,1,40093070
177,2018,10,식음료,1,1807273108
178,2018,10,렌터카,1,4550757
179,2018,10,콘도,1,13997445
180,2018,10,육상운송,1,81792162
181,2018,10,수상운송,1,6884539
182,2018,10,스키장,1,636428
183,2018,11,호텔,1,38234018
184,2018,11,기타숙박,1,68200534
185,2018,11,여행업,1,14747920
186,2018,11,항공운송,1,51707315
187,2018,11,면세점,1,59627175
188,2018,11,관광기념품,1,5713825
189,2018,11,레저용품쇼핑,1,246407553
190,2018,11,대형쇼핑몰,1,833089811
191,2018,11,관광유원시설,1,7284320
192,2018,11,골프장,1,122890631
193,2018,11,기타레저,1,46768784
194,2018,11,문화서비스,1,42765507
195,2018,11,식음료,1,1732367431
196,2018,11,렌터카,1,4207822
197,2018,11,콘도,1,11670997
198,2018,11,육상운송,1,79988827
199,2018,11,수상운송,1,5423359
200,2018,11,스키장,1,599178
201,2018,12,호텔,1,58338597
202,2018,12,기타숙박,1,74338487
203,2018,12,여행업,1,17884289
204,2018,12,항공운송,1,51435898
205,2018,12,면세점,1,57319421
206,2018,12,관광기념품,1,5332490
207,2018,12,레저용품쇼핑,1,229770467
208,2018,12,대형쇼핑몰,1,945032885
209,2018,12,관광유원시설,1,7977827
210,2018,12,골프장,1,60802599
211,2018,12,기타레저,1,52207412
212,2018,12,문화서비스,1,50147370
213,2018,12,식음료,1,1924882169
214,2018,12,렌터카,1,4469775
215,2018,12,콘도,1,17921395
216,2018,12,육상운송,1,78419193
217,2018,12,수상운송,1,3840904
218,2018,12,스키장,1,4420669
219,2018,1,캠핑장/펜션,1,267956
220,2018,2,캠핑장/펜션,1,233194
221,2018,3,캠핑장/펜션,1,281867
222,2018,4,캠핑장/펜션,1,327566
223,2018,5,캠핑장/펜션,1,416447
224,2018,6,캠핑장/펜션,1,405817
225,2018,7,캠핑장/펜션,1,528819
226,2018,8,캠핑장/펜션,1,695575
227,2018,9,캠핑장/펜션,1,326799
228,2018,10,캠핑장/펜션,1,338328
229,2018,11,캠핑장/펜션,1,276790
230,2018,12,캠핑장/펜션,1,283399
231,2019,1,호텔,1,46075422
232,2019,1,기타숙박,1,65207783
233,2019,1,여행업,1,22385871
234,2019,1,항공운송,1,61923433
235,2019,1,면세점,1,62665018
236,2019,1,관광기념품,1,5234248
237,2019,1,레저용품쇼핑,1,164839234
238,2019,1,대형쇼핑몰,1,798105016
239,2019,1,관광유원시설,1,7409828
240,2019,1,골프장,1,46692360
241,2019,1,기타레저,1,55973561
242,2019,1,문화서비스,1,43430789
243,2019,1,식음료,1,1749186776
244,2019,1,렌터카,1,4279753
245,2019,1,콘도,1,19301172
246,2019,1,육상운송,1,80095064
247,2019,1,수상운송,1,3854725
248,2019,1,스키장,1,6110835
249,2019,2,호텔,1,41683835
250,2019,2,기타숙박,1,60348910
251,2019,2,여행업,1,15550261
252,2019,2,항공운송,1,56233140
253,2019,2,면세점,1,56890008
254,2019,2,관광기념품,1,4887457
255,2019,2,레저용품쇼핑,1,159178090
256,2019,2,대형쇼핑몰,1,772348881
257,2019,2,관광유원시설,1,7914289
258,2019,2,골프장,1,61254720
259,2019,2,기타레저,1,53546534
260,2019,2,문화서비스,1,50159884
261,2019,2,식음료,1,1596427512
262,2019,2,렌터카,1,4576026
263,2019,2,콘도,1,17164080
264,2019,2,육상운송,1,70649434
265,2019,2,수상운송,1,4024367
266,2019,2,스키장,1,4260048
267,2019,2,카지노,1,0
268,2019,3,호텔,1,39480117
269,2019,3,기타숙박,1,68499224
270,2019,3,여행업,1,15554458
271,2019,3,항공운송,1,59034002
272,2019,3,면세점,1,56777699
273,2019,3,관광기념품,1,6134825
274,2019,3,레저용품쇼핑,1,208241537
275,2019,3,대형쇼핑몰,1,883176538
276,2019,3,관광유원시설,1,8513663
277,2019,3,골프장,1,121154340
278,2019,3,기타레저,1,55534413
279,2019,3,문화서비스,1,37903715
280,2019,3,식음료,1,1851470300
281,2019,3,렌터카,1,4629065
282,2019,3,콘도,1,11437490
283,2019,3,육상운송,1,77138165
284,2019,3,수상운송,1,5418403
285,2019,3,스키장,1,567491
286,2019,4,호텔,1,38213121
287,2019,4,기타숙박,1,64874811
288,2019,4,여행업,1,17433259
289,2019,4,항공운송,1,53353061
290,2019,4,면세점,1,56540957
291,2019,4,관광기념품,1,6564455
292,2019,4,레저용품쇼핑,1,206660607
293,2019,4,대형쇼핑몰,1,761941743
294,2019,4,관광유원시설,1,7560316
295,2019,4,골프장,1,138057401
296,2019,4,기타레저,1,49754123
297,2019,4,문화서비스,1,38977031
298,2019,4,식음료,1,1754503766
299,2019,4,렌터카,1,4909928
300,2019,4,콘도,1,10947369
301,2019,4,육상운송,1,77666035
302,2019,4,수상운송,1,6723041
303,2019,4,스키장,1,368891
304,2019,5,호텔,1,42762107
305,2019,5,기타숙박,1,69342724
306,2019,5,여행업,1,16836944
307,2019,5,항공운송,1,55563392
308,2019,5,면세점,1,57487057
309,2019,5,관광기념품,1,6998188
310,2019,5,레저용품쇼핑,1,231399363
311,2019,5,대형쇼핑몰,1,849325815
312,2019,5,관광유원시설,1,8723673
313,2019,5,골프장,1,158483070
314,2019,5,기타레저,1,56105801
315,2019,5,문화서비스,1,49079019
316,2019,5,식음료,1,1912745202
317,2019,5,렌터카,1,5435618
318,2019,5,육상운송,1,80068555
319,2019,5,콘도,1,13346064
320,2019,5,수상운송,1,7098479
321,2019,5,스키장,1,608490
322,2019,6,호텔,1,41183718
323,2019,6,기타숙박,1,69566401
324,2019,6,여행업,1,14187318
325,2019,6,항공운송,1,60878268
326,2019,6,면세점,1,63055057
327,2019,6,관광기념품,1,6194443
328,2019,6,레저용품쇼핑,1,189084480
329,2019,6,대형쇼핑몰,1,779062362
330,2019,6,관광유원시설,1,9303727
331,2019,6,골프장,1,157174292
332,2019,6,기타레저,1,56786919
333,2019,6,문화서비스,1,56456030
334,2019,6,식음료,1,1812963984
335,2019,6,렌터카,1,5432722
336,2019,6,육상운송,1,75168494
337,2019,6,콘도,1,15620402
338,2019,6,수상운송,1,6039008
339,2019,6,스키장,1,629898
340,2019,7,호텔,1,42244878
341,2019,7,기타숙박,1,72108893
342,2019,7,여행업,1,19505860
343,2019,7,항공운송,1,65516460
344,2019,7,면세점,1,57865608
345,2019,7,관광기념품,1,5504210
346,2019,7,레저용품쇼핑,1,167238467
347,2019,7,대형쇼핑몰,1,740855691
348,2019,7,관광유원시설,1,9381909
349,2019,7,골프장,1,133995542
350,2019,7,기타레저,1,62817579
351,2019,7,문화서비스,1,55291517
352,2019,7,식음료,1,1819165224
353,2019,7,콘도,1,21750371
354,2019,7,렌터카,1,6401517
355,2019,7,육상운송,1,80173687
356,2019,7,수상운송,1,5848425
357,2019,7,스키장,1,741985
358,2019,7,카지노,1,368
359,2019,8,호텔,1,53319094
360,2019,8,기타숙박,1,83797870
361,2019,8,여행업,1,15122387
362,2019,8,항공운송,1,51358434
363,2019,8,면세점,1,56172060
364,2019,8,관광기념품,1,6556593
365,2019,8,레저용품쇼핑,1,149232409
366,2019,8,대형쇼핑몰,1,781488205
367,2019,8,관광유원시설,1,12034404
368,2019,8,골프장,1,131773542
369,2019,8,기타레저,1,67696825
370,2019,8,문화서비스,1,66243821
371,2019,8,식음료,1,1948110868
372,2019,8,콘도,1,32044036
373,2019,8,육상운송,1,87338626
374,2019,8,렌터카,1,7666247
375,2019,8,수상운송,1,7605938
376,2019,8,스키장,1,1238475
377,2019,8,카지노,1,0
378,2019,9,호텔,1,38883829
379,2019,9,기타숙박,1,63291079
380,2019,9,여행업,1,14845298
381,2019,9,항공운송,1,47083938
382,2019,9,면세점,1,52618969
383,2019,9,관광기념품,1,5147093
384,2019,9,레저용품쇼핑,1,176228034
385,2019,9,대형쇼핑몰,1,828130017
386,2019,9,관광유원시설,1,8512051
387,2019,9,골프장,1,130388060
388,2019,9,기타레저,1,56886496
389,2019,9,문화서비스,1,40898898
390,2019,9,식음료,1,1677029280
391,2019,9,육상운송,1,72131264
392,2019,9,렌터카,1,5494911
